Date,2007,2008,2009,2010,2011,MAX,MIN,Difference
20-Oct,18591.268,18686.164,24975.46,19614.899,,24975.46,18591.268,6384.192
21-Oct,20390.645,19004.518,26785,18819.393,,26785,18819.393,7965.607
22-Oct,20533.758,18727.803,25571.96,17222.546,,25571.96,17222.546,8349.414
23-Oct,21213.028,19764.4,24711.84,17248.07,,24711.84,17248.07,7463.77
24-Oct,19991.342,19381.973,24326.64,18010.446,,24326.64,18010.446,6316.194
25-Oct,19923.842,20203.678,25719.13,19159.75,,25719.13,19159.75,6559.38
26-Oct,18897.818,21050.464,26346.667,19637.69,,26346.667,18897.818,7448.849
27-Oct,19528.728,20115.338,27162.97,19883.33,,27162.97,19528.728,7634.242
28-Oct,18937.818,20838.858,26369.96,19358.117,,26369.96,18937.818,7432.142
29-Oct,19556.753,21491.59,26693.71,19401.724,,26693.71,19401.724,7291.986
30-Oct,19586.119,19983.828,25990.085,19374.409,,25990.085,19374.409,6615.676
31-Oct,19056.778,19911.298,25039.913,20142.69,,25039.913,19056.778,5983.135
1-Nov,18068.044,19755.748,25582.523,18823.42,,25582.523,18068.044,7514.479
2-Nov,16232.53,19616.673,25378.265,20194.1,,25378.265,16232.53,9145.735
3-Nov,17416.928,18329.228,25357.632,19785.17,,25357.632,17416.928,7940.704
4-Nov,18379.328,19269.898,25384.3,20601.74,,25384.3,18379.328,7004.972
5-Nov,17108.418,19849.838,24508.57,20380.19,,24508.57,17108.418,7400.152
6-Nov,17394.858,18968.488,24139.221,21193.525,,24139.221,17394.858,6744.363
7-Nov,17831.588,18500.158,24529.793,20970.02,,24529.793,17831.588,6698.205
8-Nov,17574.988,18109.618,27872.06,20844.817,,27872.06,17574.988,10297.072
